"x,","y,","z,",Info,Číslo
19.004898,48.522106 ,0,Parkovisko pri motoreste ,1
19.004536,48.515882 ,0,Parkovisko pri stanici ,2
18.913563,48.473238 ,0,Parkovacia plocha pri Belianskom tajchu ,3
18.882498,48.469183 ,0,Parkovacia plocha pri Červenej Studni ,4
18.903505,48.467351 ,0,Parkovacia plocha na Hájiku ,5
18.909147,48.463805 ,0,Parkovisko pri Kalvárii č.2 ,6
18.908863,48.461743 ,0,Parkovisko pri Kalvárii č.1 ,7
18.902691,48.461564 ,0,Parkovisko,8
18.897289,48.461094 ,0,Odstavná plocha nad botanickou záhradou ,9
18.89157,48.46167 ,0,Parkovisko J. Bottu ,10
18.89248,48.45985 ,0,Parkovisko Nám. Sv. Trojice,11
18.897707,48.458924 ,0,Parkovisko,12
18.896357,48.458006 ,0,Parkovisko,13
18.891176,48.458518 ,0,Parkovisko,14
18.894885,48.456011 ,0,Parkovisko pod Novým Zámkom ,15
18.902466,48.457663 ,0,Bezplatné parkovisko ,16
18.904253,48.456918 ,0,Parkovisko na kopci ,17
18.903224,48.454262 ,0,Odstavná plocha ,18
18.914731,48.455538 ,0,Parkovisko na čerpacej stanici ,19
18.918213,48.454187 ,0,Parkovisko pri nemocnici ,20
18.918112,48.453675 ,0,Parkovisko pri nemocnici ,21
18.917262,48.453419 ,0,Parkovisko pri nemocnici ,22
18.916629,48.453304 ,0,Parkovisko pri Tescu ,23
18.90680,48.45021 ,0,Parkovisko križovatka ,24
18.910246,48.449336 ,0,Parkovisko pri Dužine ,25
18.910293,48.445202 ,0,Parkovisko,26
18.914824,48.441697 ,0,Parkovisko na čerpacej stanici ,27
18.887940,48.451846 ,0,Parkovisko pri banskom múzeu ,28
18.888866,48.451482 ,0,Parkovisko pri banskom múzeu ,29
18.888479,48.446137 ,0,Parkovacia plocha pri Prachárni ,30
18.864770,48.439169 ,0,Parkovacia plocha Št. bane ,31
18.858748,48.433631 ,0,Parkovisko pri Vindšachte ,32
18.845480,48.428134 ,0,Parkovacia plocha pri Richňavskom tajchu,33
18.941553,48.422000 ,0,Parkovisko pod kaštieľom ,34
18.856704,48.409989 ,0,Parkovisko pri Počúvadle ,35
18.856501,48.405039 ,0,Parkovisko pri Počúvadle ,36
