"x,","y,","z,",Info,Číslo,Foto
18.979991,48.508659 ,0,Bývalá huta a železný hámor,1,
18.789683,48.501839 ,0,"Vápenícka pec, Vyhne ",2,
18.901057,48.466955 ,0,Hraničný banský kameň ,3,
18.894885,48.463906 ,0,Vykopávky hutníckych a obytných objektov,4,
18.891878,48.461929 ,0,Bývalá triediareň rúd ,5,
18.893437,48.459617 ,0,Spracovanie rúd zo žily Špitaler ,6,
18.927618,48.453623 ,0,Akvadukt,7,
18.85298,48.45790 ,0,Povrchové banské objekty bane Rozália ,8,
18.894919,48.452942 ,0,Šachtová budova šachty Žigmund,9,
18.894817,48.452661 ,0,Správna budova šachty Žigmund ,10,
18.895273,48.452604 ,0,Budova strojovne šachty Žigmund ,11,
18.92736,48.45369 ,0,Kysihýbeľský akvadukt ,12,C:\Users\Erika\Desktop\QGISSS\Obrazky\kysihybelsky akvadukt.jpg
18.91477,48.44643 ,0,Stupy nad tajchom Rybník ,13,
18.910629,48.445852 ,0,Vývoj úpravníctva v okolí šachty František ,14,
18.890052,48.446275 ,0,Pracháreň,15,
18.82726,48.46354 ,0,Objekty Hornohodrušského banského závodu ,16,
18.74586,48.46053 ,0,Pozostatky budov Centrálnej parnej stupy Dolnohodrušského banského závodu,17,
18.78138,48.45388 ,0,Objekty Dolnohodrušského banského závodu ,18,
18.81103,48.45615 ,0,Povrchové objekty banského závodu zvaného Erb štôlňa ,19,
18.873956,48.448646 ,0,Povrchové objekty šachty Roveň ,20,
18.873638,48.440307 ,0,Prevádzková budova šachty Špitaler so strojvňou,21,
18.885457,48.443161 ,0,Správna budova šachty Maximilián ,22,
18.910992,48.439438 ,0,Horná ( Stadtgrundská ) huta ,23,
18.92188,48.43817 ,0,Strieborná ( Dolná ) huta ,24,
18.922275,48.437307 ,0,Dolná ( Strieborná ) huta ,25,
18.920959,48.435352 ,0,Dymovod na Lintichu ,26,
18.919661,48.432020 ,0,Komín na Lintichu ,27,
18.856229,48.409767 ,0,Manipulačný objekt dnového výpustu Počúvadlo ,28,
