"x,","y,","z,",Info,Číslo
18.919981,48.498049 ,0,Krčma v obci Podhorie ,1
18.891619,48.460932,0,Reštaurácia Príjemný oddych ,2
18.891881,48.460701 ,0,Reštaurácia na Trojici ,3
18.892283,48.460374 ,0,Kaviareň Gavalier ,4
18.892581,48.459876 ,0,Reštaurácia Gallery ,5
18.894099,48.458764 ,0,Kaviareň Divná pani ,6
18.893483,48.458643 ,0,Meštianska krčma ,7
18.892735,48.458638 ,0,Tulsi,8
18.891960,48.458684 ,0,Archaniel caffebar ,9
18.891842,48.458403,0,Café Bar u Jašteríc ,10
18.891551,48.458163 ,0,Monarchia,11
18.891669,48.457994 ,0,Čajovňa Klopačka ,12
18.894987,48.458538 ,0,Trotuar cafe ,13
18.896044,48.458574 ,0,Art cafe ,14
18.897138,48.459215 ,0,Gaudeamus pub ,15
18.896308,48.458584 ,0,Reštaurácia Matej ,16
18.895053,48.458366 ,0,Obchod s čokoládou – U Jozefa II ,17
18.893513,48.458190 ,0,Pivovar Erb ,18
18.894634,48.458183 ,0,Reštaurácia u Bohma ,19
18.895728,48.458098 ,0,Vinocentrum Banská Štiavnica ,20
18.896632,48.458105 ,0,Hotel Grand Matej ,21
18.897803,48.457738 ,0,Jazz Caffe ,22
18.898549,48.457695 ,0,4 sochy caffe ,23
18.899229,48.457616 ,0,Banícka krčma pri štôlni Glanzenberg ,24
18.898979,48.457395 ,0,Reštaurácia a pizzeria Kachelman ,25
18.900725,48.457173 ,0,Pražovňa pub ,26
18.901301,48.456978 ,0,Pub Zubr Arena ,27
18.900928,48.456750 ,0,Bistro J &Ti ,28
18.901453,48.456743 ,0,Chilly café ,29
18.903957,48.456869 ,0,Reštaurácia Na Kopci ,30
18.902920,48.455841 ,0,Reštaurácia Cosmopolitan 1 ,31
18.902465,48.455445 ,0,UV pizzeria ,32
18.901645,48.455416 ,0,Kaviareň – Bar Vila Magnólia ,33
18.902964,48.454802 ,0,Hotel Kerling ,34
18.903060,48.454785 ,0,Bar Kerling ,35
18.903610,48.454334 ,0,Špeciality u Paľa ,36
18.903826,48.462737 ,0,Baracuda bar ,37
18.852538,48.458807 ,0,Salamandra Resort & Hotel ,38
18.945341,48.541769 ,0,Krčma Drevenička ,39
18.977171,48.444504 ,0,Krčma u Doldoka ,40
18.930679,48.434533 ,0,Penzión Kremenisko ,41
18.935112,48.418859 ,0,Ranč Nádej ,42
18.940275,48.406521 ,0,Café Madeira ,43
18.899441,48.419397 ,0,Kolkáreň – pohostinstvo ,44
18.853132,48.408755 ,0,Restaurant am See Topky ,45
18.856125,48.405239 ,0,Penzión Pri Jazere ,46
18.855763,48.404675 ,0,Terasa u Blaškov ,47
18.85778,48.403929 ,0,Pod Sitnom ,48
18.856042,48.403265 ,0,Reštaurácia Konvalinka ,49
18.856766,48.402907 ,0,Chata WEST ,50
18.857629,48.401275 ,0,Chata LODIAR ,51
