"x,","y,","z,",Info,Číslo
18.924728,48.498795 ,0,Žakýl,1
18.95105,48.49451 ,0,Privát Hájovňa ,2
18.892791,48.477836 ,0,",,Malá farma“ ",3
18.907574,48.463242 ,0,Domček pod Kalváriou ,4
18.898691,48.461748 ,0,Ubytovanie AURA,5
18.892424,48.461908 ,0,Chata 4025 ,6
18.890565,48.461259 ,0,Ubytovanie Marína ,7
18.891570,48.460877 ,0,Penzión Príjemný oddych ,8
18.892297,48.460318 ,0,Ubytovanie Gavalier ,9
18.894944,48.459701 ,0,Ubytovanie Belavita ,10
18.896053,48.459329 ,0,Chata 4105 ,11
18.897174,48.459277 ,0,Penzión Tomino ,12
18.894043,48.459089 ,0,Penzión Rozália ,13
18.890785,48.458806 ,0,Hostel sv. JURAJ ,14
18.892016,48.458672 ,0,Archanjel – ubytovanie v súkromí ,15
18.892340,48.457927 ,0,Hostel 6,16
18.892606,48.457409 ,0,Penzión Resla ,17
18.893835,48.457518 ,0,Apartmány Scharffenberg ,18
18.893816,48.458317 ,0,Chata 17822 ,19
18.895423,48.458380 ,0,Penzión Cosmopolitan II. ,20
18.896187,48.458544 ,0,Penzión Matej ,21
18.896812,48.458101 ,0,Hotel Grand Matej ,22
18.896305,48.457330 ,0,Penzión Ister ,23
18.898069,48.457782 ,0,Hotel Salamander ,24
18.898698,48.458409 ,0,PANORAMA Apartmán Ajaj ,25
18.898846,48.458478 ,0,Apartmán 206 ,26
18.899401,48.458519 ,0,Penzión Tatiana ,27
18.898576,48.457686 ,0,4 sochy ,28
18.898937,48.457359 ,0,Penzión Kachelman ,29
18.900409,48.457302 ,0,Villa Mária ,30
18.896553,48.457487 ,0,Penzión Nostalgia ,31
18.904784,48.457210 ,0,Penzión na kopci ,32
18.901629,48.455513,0,Penzión Vila Magnólia ,33
18.901439,48.455021 ,0,Ubytovanie Betka ,34
18.903039,48.454752 ,0,Hotel Kerling ,35
18.913278,48.455637 ,0,Privát Gromlusová ,36
18.884564,48.452954 ,0,Ubytovanie Klinger ,37
18.879879,48.446860 ,0,Privát 13445 ,38
18.852538,48.458807 ,0,Salamandra Resort & Hotel ,39
18.892787,48.439073 ,0,Privát Bagha ,40
18.899801,48.439509 ,0,Privát 89 ,41
18.87063,48.44104 ,0,Chata Viktória ,42
18.86681,48.43996 ,0,Apartmán Jana ,43
18.869311,48.438460 ,0,Penzión Slnečnica ,44
18.864726,48.439291 ,0,Chata 14655 ,45
18.864377,48.438848 ,0,Penzión Alžbeta ,46
18.865778,48.436744 ,0,Privát 2398 ,47
18.862695,48.435570 ,0,Ubytovanie pri jazere Evička ,48
18.859624,48.435385 ,0,Vila Vážka ,49
18.856196,48.435688 ,0,Chata Assisi ,50
18.857294,48.433401 ,0,Penzión Cosmopolitan III. ,51
18.843469,48.430145 ,0,Chata 23440 ,52
18.842356,48.430175 ,0,Penzión Richňava ,53
18.89953,48.41895 ,0,Modrá ruža ,54
18.935326,48.419030 ,0,Ranč Nádej ,55
18.930454 ,48.434593,0,Penzión Kremenisko ,56
18.940292,48.406578 ,0,Café Madeira ,57
18.962123,48.391993 ,0,"Bývalá horáreň ,,Chata Rázdiel“ ",58
18.803839,48.414077 ,0,Penzión Vysoká ,59
18.853169,48.408587 ,0,Hotel Topky ,60
18.856125,48.405239 ,0,Penzión PRI JAZERE,61
18.857091,48.405213 ,0,Chatka pri tajchu Počúvadlo ,62
18.85778,48.403929 ,0,Pod Sitnom ,63
18.85612,48.40393 ,0,Chata Veverka,64
18.856214,48.403557 ,0,Chata Katka ,65
18.856482,48.403517 ,0,Chata DOROTKA ,66
18.856509,48.403301 ,0,Penzión Anna ,67
